Country,Country,World Bank,CIA Gini
Nepal,Nepal,32.8,32.8
Switzerland,Switzerland,33.7,29.6
Afghanistan,Afghanistan,27.8,29.4
 Albania, Albania,34.5,34.5
 Algeria, Algeria,35.3,35.3
 Angola, Angola,58.6,
 Argentina, Argentina,44.5,45.8
 Armenia, Armenia,30.9,30.9
 Australia, Australia,30.5,30.3
 Austria, Austria,26,26
 Azerbaijan, Azerbaijan,33.7,33.7
 Bahrain, Bahrain,,
 Bangladesh, Bangladesh,32.1,33.2
 Belarus, Belarus,26.5,27.2
 Belgium, Belgium,33,28
 Belize, Belize,53.1,
 Benin, Benin,38.6,36.5
 Bhutan, Bhutan,38.1,
 Bolivia, Bolivia,56.3,53
 Botswana, Botswana,61,63
 Brazil, Brazil,54.7,50.8
 Bulgaria, Bulgaria,28.2,45.3
 Burkina Faso, Burkina Faso,39.8,39.5
 Burundi, Burundi,33.3,42.4
 Cambodia, Cambodia,37.9,37.9
 Cameroon, Cameroon,38.9,44.6
 Canada, Canada,32.6,32.1
 Cape Verde, Cape Verde,50.5,
 Central African Republic, Central African Republic,56.3,61.3
 Chad, Chad,39.8,
 Chile, Chile,52.1,52.1
 China, China,47,47.4
 Colombia, Colombia,55.9,58.5
 Comoros, Comoros,64.3,
 Congo, Congo,47.3,
 Costa Rica, Costa Rica,50.7,50.3
 Côte d'Ivoire, Côte d'Ivoire,41.5,41.5
 Croatia, Croatia,33.7,32
 Cuba, Cuba,,
 Cyprus, Cyprus,,29
 Czech Republic, Czech Republic,26,31
 Democratic Republic, Democratic Republic,44.4,
 Denmark, Denmark,24,24.8
 Djibouti, Djibouti,40,
 Dominican Republic, Dominican Republic,47.2,47.2
 Ecuador, Ecuador,49.3,47.7
 Egypt, Egypt,30.8,34.4
 El Salvador, El Salvador,48.3,46.9
 Equatorial Guinea, Equatorial Guinea,,
 Estonia, Estonia,36,31.3
 Ethiopia, Ethiopia,29.8,30
 European Union, European Union,,30.4
 Fiji, Fiji,42.8,
 Finland, Finland,26.9,26.8
 France, France,32.7,32.7
 Gabon, Gabon,41.5,
 Georgia, Georgia,41.3,46
 Germany, Germany,28.3,27
 Ghana, Ghana,42.8,39.4
 Greece, Greece,34.3,33
 Guatemala, Guatemala,55.9,55.1
 Guinea, Guinea,39.4,39.4
 Guinea-Bissau, Guinea-Bissau,35.5,
 Guyana, Guyana,44.5,44.6
 Haiti, Haiti,59.2,59.2
 Honduras, Honduras,57,57.7
 Hong Kong, Hong Kong,53.3,53.7
 Hungary, Hungary,31.2,24.7
 Iceland, Iceland,,28
 India, India,33.4,36.8
 Indonesia, Indonesia,34,36.8
 Iran, Iran,38.3,44.5
 Iraq, Iraq,30.9,
 Ireland, Ireland,34.3,33.9
 Israel, Israel,39.2,37.6 [14]
 Italy, Italy,36,31.9
 Jamaica, Jamaica,45.5,45.5
 Japan, Japan,38.1,37.6
 Jordan, Jordan,35.4,39.7
 Kazakhstan, Kazakhstan,29,28.9
 Kenya, Kenya,47.7,42.5
 Kuwait, Kuwait,,
 Kyrgyzstan, Kyrgyzstan,36.2,33.4
 Laos, Laos,36.7,36.7
 Latvia, Latvia,36.6,35.2
 Lebanon, Lebanon,,
 Lesotho, Lesotho,52.5,63.2
 Liberia, Liberia,38.2,38.2
 Libya, Libya,,
 Lithuania, Lithuania,37.6,35.5
 Luxembourg, Luxembourg,30.8,26
 Macedonia, Macedonia,43.2,43.2
 Madagascar, Madagascar,44.1,47.5
 Malawi, Malawi,39,39
 Malaysia, Malaysia,46.2,46.2
 Maldives, Maldives,37.4,
 Mali, Mali,33,40.1
 Malta, Malta,,27.4
 Mauritania, Mauritania,40.5,39
 Mauritius, Mauritius,,39
 Mexico, Mexico,47,51.7
 Moldova, Moldova,33,38
 Mongolia, Mongolia,36.5,36.5
 Montenegro, Montenegro,30,24.3
 Morocco, Morocco,40.9,40.9
 Mozambique, Mozambique,45.7,45.6
 Myanmar, Myanmar,,
 Namibia, Namibia,63.9,59.7
 Netherlands, Netherlands,30.9,30.9
 New Zealand, New Zealand,36.2,36.2
 Nicaragua, Nicaragua,40.5,40.5
 Niger, Niger,34.6,34
 Nigeria, Nigeria,48.8,43.7
 North Korea, North Korea,,
 Norway, Norway,25.8,25
 Oman, Oman,,
 Pakistan, Pakistan,30,30.6
 Palestine, Palestine,35.5,
 Panama, Panama,51.9,51.9
 Papua New Guinea, Papua New Guinea,50.9,50.9
 Paraguay, Paraguay,52.4,53.2
 Peru, Peru,48.1,46
 Philippines, Philippines,43,44.8
 Poland, Poland,34.1,34.1
 Portugal, Portugal,38.5,38.5
 Qatar, Qatar,41.1,
 Romania, Romania,30,33.2
 Russia, Russia,40.1,41.7
 Rwanda, Rwanda,50.8,46.8
 Sao Tome and Principe, Sao Tome and Principe,50.8,
 Saudi Arabia, Saudi Arabia,,
 Senegal, Senegal,39.2,41.3
 Serbia, Serbia,27.8,28.2
 Seychelles, Seychelles,65.8,
 Sierra Leone, Sierra Leone,42.5,62.9
 Singapore, Singapore,48.1,47.8
 Slovakia, Slovakia,26,26
 Slovenia, Slovenia,31.2,23.8
 Somalia, Somalia,,
 South Africa, South Africa,63.1,65
 South Korea, South Korea,31.3,31.1
 South Sudan, South Sudan,45.5,
 Spain, Spain,34.7,32
 Sri Lanka, Sri Lanka,40.3,49
 St. Lucia, St. Lucia,42.6,
 Sudan, Sudan,35.3,
 Suriname, Suriname,52.9,
 Swaziland, Swaziland,51.5,50.4
 Sweden, Sweden,25,23
 Syria, Syria,35.8,
 Taiwan, Taiwan,,34.2
 Tajikistan, Tajikistan,30.8,32.6
 Tanzania, Tanzania,37.6,37.6
 Thailand, Thailand,40,53.6
 The Gambia, The Gambia,47.3,50.2
 Timor-Leste, Timor-Leste,31.9,31.9
 Togo, Togo,34.4,
 Trinidad and Tobago, Trinidad and Tobago,40.3,
 Tunisia, Tunisia,41.4,40
 Turkey, Turkey,39,40.2
 Turkmenistan, Turkmenistan,40.8,40.8
 Uganda, Uganda,44.3,44.3
 Ukraine, Ukraine,26.4,28.2
 United Arab Emirates, United Arab Emirates,,
 United Kingdom, United Kingdom,34,40
 United States, United States,48,45
 Uruguay, Uruguay,39.7,45.3
 Uzbekistan, Uzbekistan,36.7,36.8
 Venezuela, Venezuela,44.8,39
 Vietnam, Vietnam,35.6,37.6
 World, World,,39
 Yemen, Yemen,37.7,37.7
 Zambia, Zambia,54.6,50.8
 Zimbabwe, Zimbabwe,50.1,50.1
of the Congo,of the Congo,,
,,,
,,36.2,36.2